instance,solver,secs,rss_mb,iterations,gap,status
sc50a.mps,glpk,0.061446298000191746,0.086016,nan,0.0,Unknown
sc50a.mps,glpk,0.05956879699988349,0.086016,nan,0.0,Unknown
sc50a.mps,clp,0.06485309400022743,0.086016,nan,0.0,Optimal
sc50a.mps,clp,0.05945506899979591,0.086016,nan,0.0,Optimal
sc50a.mps,clp,0.058647267000196734,0.090112,nan,0.0,Optimal
denseRnd_2000.lp,highs,0.057086458000412676,0.086016,nan,0.0,Unknown
denseRnd_2000.lp,highs,0.061618294999789214,0.090112,nan,0.0,Unknown
denseRnd_2000.lp,highs,0.06032225399985691,0.086016,nan,0.0,Unknown
denseRnd_2000.lp,glpk,0.05957497500003228,0.086016,nan,0.0,Unknown
denseRnd_2000.lp,glpk,0.056546859000263794,0.086016,nan,0.0,Unknown
denseRnd_2000.lp,glpk,0.06038606400034041,0.086016,nan,0.0,Unknown
denseRnd_2000.lp,clp,0.06025577499985957,0.086016,nan,0.0,Unknown
denseRnd_2000.lp,clp,0.060325037999973574,0.086016,nan,0.0,Unknown
denseRnd_2000.lp,clp,0.058931969000241224,0.086016,nan,0.0,Unknown
blend.mps,highs,0.05815370900018024,0.086016,nan,0.0,Unknown
blend.mps,highs,0.06054291999998895,0.086016,nan,0.0,Unknown
blend.mps,highs,0.060176617999786686,0.090112,nan,0.0,Unknown
blend.mps,glpk,0.06149211899992224,0.086016,nan,0.0,Unknown
blend.mps,glpk,0.05992070199999944,0.086016,nan,0.0,Unknown
blend.mps,glpk,0.059262084000238247,0.086016,nan,0.0,Unknown
blend.mps,clp,0.05935039499991035,0.094208,nan,0.0,Optimal
blend.mps,clp,0.061424871000326675,0.090112,nan,0.0,Optimal
blend.mps,clp,0.058437497000340954,0.086016,nan,0.0,Optimal
woodw.mps,highs,0.1680940040000678,14.0288,nan,0.0,Unknown
woodw.mps,highs,0.16901576700001897,14.2336,nan,0.0,Unknown
woodw.mps,highs,0.16318546499996955,14.41792,nan,0.0,Unknown
woodw.mps,glpk,0.0598262439998507,0.090112,nan,0.0,Unknown
woodw.mps,glpk,0.06247155000028215,0.086016,nan,0.0,Unknown
woodw.mps,glpk,0.05921009200028493,0.086016,nan,0.0,Unknown
woodw.mps,clp,0.2239387469999201,9.580544,nan,0.0,Optimal
woodw.mps,clp,0.22282915000005232,9.437184,nan,0.0,Optimal
woodw.mps,clp,0.2168525120000595,9.621504,nan,0.0,Optimal
